source,target
0,5
4,5
4,7
3,8
4,8
6,10
5,11
8,11
4,13
6,14
8,14
9,14
4,15
2,16
3,16
12,16
0,17
4,17
8,17
9,17
10,17
13,17
15,17
0,18
4,18
11,18
5,19
16,19
17,19
1,20
0,21
1,21
12,21
15,21
1,22
12,22
3,23
8,23
16,23
20,23
0,24
2,24
4,24
8,24
9,24
15,24
17,24
19,24
21,24
15,25
20,25
1,26
22,26
5,27
11,27
26,28
7,30
12,30
20,30
21,30
23,30
25,30
27,30
10,31
13,31
1,32
18,32
26,32
6,33
0,34
6,34
7,34
27,34
5,35
6,35
11,35
17,35
24,35
26,35
32,35
5,36
14,36
17,36
13,37
20,37
24,37
23,38
32,38
2,39
6,39
11,39
17,39
26,39
33,39
34,39
12,40
30,40
4,41
25,41
39,41
6,42
9,42
10,42
38,42
1,43
11,43
12,43
13,43
16,43
41,43
3,44
9,44
14,44
24,44
3,45
7,45
9,45
16,45
23,45
42,45
1,46
3,46
8,46
21,46
34,46
35,46
38,46
1,47
5,47
18,47
22,47
42,47
1,48
5,48
9,48
16,48
19,48
27,48
29,48
31,48
35,48
36,48
45,48
46,48
17,49
21,49
30,49
39,49
44,49
46,49
